,Create At,Title,Company,Location,Salary Snippet,Salary Range,Salary Period,Salary From,Salary To,Salary Fixed
0,2022-03-20 19:09:41.590843,Safety Specialist,Safety Consultants USA Inc,"Charlotte, NC","Up to $75,000 a year",upto,yearly,,75000,
1,2022-03-20 19:09:41.591076,3+ Years Electrician,Goodberlet Home Services,,$16 - $22 an hour,range,hourly,16,22,
2,2022-03-20 19:09:41.591372,Radiation Protection Technician,BHI Energy,,,,,,,
3,2022-03-20 19:09:41.591570,Front Desk Administrative Assistant,MD Madison Construction LLC,Remote,$25 - $35 an hour,range,hourly,25,35,
4,2022-03-20 19:09:41.591784,Senior Maintenance Worker,"Bay County, FL","Bay County, FL","$27,810 - $48,672 a year",range,yearly,27810,48672,
5,2022-03-20 19:09:41.592000,Construction Worker,"Manufactured Housing Enterprises, Inc.",,$16 - $22 an hour,range,hourly,16,22,
6,2022-03-20 19:09:41.592195,Construction Worker,French Awning & Screen Company,,$11 - $24 an hour,range,hourly,11,24,
7,2022-03-20 19:09:41.592377,Construction Worker,Turf God Home Services,"Frisco, TX",$18 - $30 an hour,range,hourly,18,30,
8,2022-03-20 19:09:41.592557,Construction Superintendent,"Harmony Construction, LLC","Asheville, NC",$30 - $40 an hour,range,hourly,30,40,
9,2022-03-20 19:09:41.592738,Construction Supervisor/Project Manager,Blue Marlin - General Contractor,"Miami, FL","$41,000 - $47,000 a year",range,yearly,41000,47000,
10,2022-03-20 19:09:41.592924,Warehouse Associate,ces+,,$15 an hour,fixed,hourly,,,15
11,2022-03-20 19:09:41.593117,Cleaning/Demolition/Landscape laborer construction worker,CozyHomes,,$130 - $150 a day,range,dayly,130,150,
12,2022-03-20 19:09:41.593395,Construction Worker,Woodruff Construction,,,,,,,
13,2022-03-20 19:09:41.593670,Construction Associate,Black and Veatch,"Minneapolis, MN",,,,,,
14,2022-03-20 19:09:41.593883,Construction General Laborers,VIP Staffing,,$14 - $15 an hour,range,hourly,14,15,
15,2022-03-20 19:09:41.594089,Traveling Commercial Concrete Worker,B&B Concrete,"Hendersonville, TN",$30 - $35 an hour,range,hourly,30,35,
16,2022-03-20 19:09:41.594340,Maintenance Worker,Royer-Greaves School,,,,,,,
17,2022-03-20 19:09:41.594605,Sales Account Manager,Ferguson,Remote,,,,,,
18,2022-03-20 19:09:41.594792,Construction Project Manager,The Sharp Construction Group LLC,"Lorton, VA","$75,000 - $105,000 a year",range,yearly,75000,105000,
19,2022-03-20 19:09:41.595001,MDOT Transportation Engineer 9/10/P11/12 (Assistant Construc...,State of Michigan,"Davison, MI",$22.65 - $40.36 an hour,range,hourly,22.65,40.36,
20,2022-03-20 19:09:41.595311,Pipefitter Apprentice,Polk Mechanical Company LLC,"Houston, TX",,,,,,
21,2022-03-20 19:09:41.595495,Construction Tech,Taconic Companies,"Denver, CO",$23 - $27 an hour,range,hourly,23,27,
22,2022-03-20 19:09:41.595757,Development Manager,"Ryan Companies US, Inc.","Atlanta, GA",,,,,,
23,2022-03-20 19:09:41.595937,Construction Safety Field Manager,"Morse Electric, Inc.","Las Vegas, NV",$21 - $47 an hour,range,hourly,21,47,
24,2022-03-20 19:09:41.596199,Hamm - Construction Heavy Equipment Operator,Hamm,,,,,,,
25,2022-03-20 19:09:41.596409,LOAD MANAGEMENT TECHNICIAN,City of Rocky Mount,,$18.45 - $30.55 an hour,range,hourly,18.45,30.55,
26,2022-03-20 19:09:41.596681,Loan Assistant,Capital Community Bank,"Orem, UT",,,,,,
27,2022-03-20 19:09:41.596896,Track Panel Worker,"Omega Industries, Inc.",,From $20 an hour,from,hourly,20,,
28,2022-03-20 19:09:41.597159,Project Manager - General Construction,"Hansen-Rice, Inc.",,,,,,,
29,2022-03-20 19:09:41.597340,Dock Construction/Laborer,William J Abraham & Sons Inc,"Fort Wayne, IN",$14 - $28 an hour,range,hourly,14,28,
30,2022-03-20 19:09:41.597600,Loader Operator,Croell Inc.,,,,,,,
31,2022-03-20 19:09:41.597874,Pipe Fitter,Gallo Mechanical,,,,,,,
32,2022-03-20 19:09:41.598090,Transportation Management Center (TMC) System Operator I,WSP USA,,$19.50 - $21.50 an hour,range,hourly,19.50,21.50,
33,2022-03-20 19:09:41.598282,Residential Construction Superintendent,NC Services,,"$60,000 - $80,000 a year",range,yearly,60000,80000,
34,2022-03-20 19:09:41.598559,Telephone Lineman,Danella Line Services,,,,,,,
35,2022-03-20 19:09:41.598821,SENIOR ENGINEERING TECHNICIAN,City of Newport News,"Newport News, VA",,,,,,
36,2022-03-20 19:09:41.599089,Handyman Worker,"Quality Enclosures, Inc.",,,,,,,
37,2022-03-20 19:09:41.599356,Skilled Construction Craftsperson,Peters Construction Corporation,"Waterloo, IA",,,,,,
38,2022-03-20 19:09:41.599566,Project Superintendent,Lawrence Construction Company,,"$70,000 - $90,000 a year",range,yearly,70000,90000,
39,2022-03-20 19:09:41.599747,Foreman,Synergy Contractors Group LLC,,$35 - $50 an hour,range,hourly,35,50,
40,2022-03-20 19:09:41.599963,"Project Manager, Right-of-Way",Capital Metro,,"$79,966 - $99,958 a year",range,yearly,79966,99958,
41,2022-03-20 19:09:41.600156,Director of Facilities Management,Fargo City Hall,,"$101,504 - $107,598 a year",range,yearly,101504,107598,
42,2022-03-20 19:09:41.600425,Systems Operator 1,WSP USA,"Hawthorne, NY",,,,,,
43,2022-03-20 19:09:41.600707,Maintenance Technician,Flournoy Construction,,,,,,,
44,2022-03-20 19:09:41.600883,Operations Manager,NORTHEAST OHIO NATURAL GAS,"Mentor, OH","$75,000 - $85,000 a year",range,yearly,75000,85000,
45,2022-03-20 19:09:41.601070,Construction Safety Consultant (Occupational Safety Advisor),"MIOSHA Consultation, Education and Training...",,"$43,430 - $76,253 a year",range,yearly,43430,76253,
46,2022-03-20 19:09:41.601274,Bridge Worker,Somerset County,"Hillsborough, NJ","$42,342 a year",fixed,yearly,,,42342
47,2022-03-20 19:09:41.601538,FACILITIES REPAIR WORKER,University of Wisconsinâ€“Madison,,,,,,,
48,2022-03-20 19:09:41.601810,Commercial Maintenance Contract Sales Representative/HVAC,Newcomb and Company,"Raleigh, NC",,,,,,
49,2022-03-20 19:09:41.602089,Project Manager - Mechanical Construction,Gallo Mechanical,,,,,,,
